x,y
3.108136552230981,206315.30879084425
7.985608430876585,147323.43214307382
13.088836009603892,139197.93937275023
18.007763027866275,162997.8987024756
23.124975472970313,182802.18192456022
28.234696025372543,187644.08515071194
33.04399168043153,192494.55053995145
38.06306033114165,216291.65581531418
42.97599383524257,228121.71114829314
48.19884196744238,258895.5523130327
53.29158089638712,229822.727548403
57.99723870240419,227693.60299390304
62.9908349179281,200618.6162830937
68.13252087919145,269300.00749189267
