x,y
3.1648252070081284,119530.65076007042
8.08175438721669,139340.64209088025
12.978205727373592,118253.46143280674
17.993278701976074,134070.63071033853
23.095507361676468,123950.15394055721
28.015932758479224,150742.5892694692
33.061472763402456,227406.7705304617
37.95842356307282,207317.081872117
43.04766627542338,171261.8131093852
47.963596536605024,189076.82044073739
53.064326817765064,175963.86767176946
57.995240864350365,223703.6349949876
63.07549330545872,169693.51023713627
68.0368743823648,278280.2895438151
