x,y,type
3,12.571941252847182,up
8,19.823657449382864,up
13,69.42905071348916,up
18,74.41301813655647,up
23,91.75094694875577,up
28,82.36416537405658,up
33,77.26533204019674,up
38,90.31303803906576,up
43,80.42319684845343,up
48,48.098868084272894,up
53,39.718205741400055,up
58,32.603722085151134,up
63,28.005673794713502,up
68,33.494975406184935,up
3,7.276736493936056,mean
8,12.764900819161994,mean
13,22.03567919682318,mean
18,50.21156683294211,mean
23,50.4068009717479,mean
28,43.28776817051711,mean
33,39.95248670796701,mean
38,47.962772830231586,mean
43,43.36586182603942,mean
48,24.651437561405558,mean
53,14.762733657038666,mean
58,16.720382380908745,mean
63,14.894279766098123,mean
68,18.370205627671425,mean
3,0.470078314794506,down
8,0.09439475837405098,down
13,12.45480076956369,down
18,27.269470498478867,down
23,16.119137052469938,down
28,15.304840100712994,down
33,12.221657089242228,down
38,15.69189651958817,down
43,10.088866283569672,down
48,7.760841339091371,down
53,3.921362974382589,down 
58,3.3603017599504597,down
63,3.300025588940514,down
68,1.729433283945582,down
