x,y,type
3,10.048682169563051,up
8,6.966636444337723,up
13,35.14252408045667,up
18,87.77423604376023,up
23,101.58051196835815,up
28,97.99313205472873,up
33,98.18609162104357,up
38,91.06819610605825,up
43,73.61653866931191,up
48,42.04623068587837,up
53,27.617480089592874,up
58,29.577403385953872,up
63,25.990023472324438,up
68,27.444612580281344,up
3,2.4857286371835414,mean
8,2.1756285875852654,mean
13,3.3792565307082896,mean
18,14.161488328599916,mean
23,44.60739931067816,mean
28,33.4547912921783,mean
33,49.02803094682237,mean
38,34.09508344837825,mean
43,23.702182641852744,mean
48,19.357370088739913,mean
53,9.97172580028618,mean
58,9.914861488012662,mean
63,7.837797708368186,mean
68,6.267205403373282,mean
3,0.031844014873172455,down
8,0.0932574721285846,down
13,0.6061735688357999,down
18,2.0607626767927343,down
23,3.010017596345506,down
28,10.765930695039827,down
33,16.257506879002193,down
38,9.893632144763899,down
43,8.324177126014462,down
48,5.239856828298201,down
53,4.677658327620549,down
58,3.862224089618138,down
63,1.5341991451398371,down
68,2.738964374508356,down
