x, y
0.8980582524271845, 3080.511278195489
1.1019417475728155, 3388.4624060150377
1.016990291262136, 4004.3646616541355
0.8810679611650485, 4127.545112781955
0.779126213592233, 4743.4473684210525
1.1189320388349515, 4558.6766917293235
1.220873786407767, 4681.857142857143
1.220873786407767, 6098.432330827068
1, 6221.612781954887
0.779126213592233, 6775.924812030075
1, 8685.221804511279
1, 9732.255639097744
2.0024271844660193, 555.312030075188
2.104368932038835, 3018.921052631579
1.9004854368932038, 3142.1015037593984
1.9004854368932038, 4435.496240601504
2.1213592233009706, 4928.218045112782
2.0024271844660193, 6775.924812030075
1.7645631067961165, 7083.875939849624
2.2402912621359223, 7391.827067669173
1.9004854368932038, 8438.86090225564
2.1213592233009706, 8808.402255639097
2.104368932038835, 9917.026315789473
1.9004854368932038, 10286.567669172933
2.0024271844660193, 11272.011278195489
3.0218446601941746, 3080.511278195489
3.1067961165048543, 4312.315789473684
2.9029126213592233, 4435.496240601504
2.8859223300970873, 5975.251879699248
3.1067961165048543, 6652.744360902256
3.2257281553398056, 7207.056390977444
2.9199029126213594, 8130.909774436091
2.9199029126213594, 8130.909774436091
2.8689320388349513, 7822.958646616542
2.75, 8438.86090225564
3.0048543689320386, 9362.714285714286
3.0898058252427183, 8377.270676691729
3.2597087378640777, 8746.812030075189
2.9199029126213594, 10840.87969924812
3.1067961165048543, 10964.06015037594
3.9053398058252426, 2834.1503759398497
4.126213592233009, 3142.1015037593984
4.007281553398059, 3881.184210526316
3.8883495145631066, 4743.4473684210525
4.109223300970873, 5359.349624060151
3.9733009708737863, 5605.71052631579
4.092233009708737, 8130.909774436091
3.9053398058252426, 8007.729323308271
3.7524271844660193, 8192.5
3.8883495145631066, 9547.484962406015
4.126213592233009, 9362.714285714286
4.245145631067961, 8808.402255639097
4.992718446601941, 2341.4285714285716
5.009708737864077, 3388.4624060150377
4.890776699029126, 4497.086466165414
5.111650485436893, 4928.218045112782
5.094660194174757, 5975.251879699248
4.890776699029126, 6591.154135338346
5.009708737864077, 8192.5
5.128640776699029, 9670.665413533834
4.890776699029126, 9855.436090225565
4.992718446601941, 13058.127819548872
5.009708737864077, 13981.981203007519
4.873786407766991, 14844.244360902256
5.094660194174757, 15706.507518796992
6.0121359223300965, 1910.296992481203
6.216019417475728, 2095.0676691729323
5.79126213592233, 2464.609022556391
5.995145631067961, 2957.3308270676694
5.876213592233009, 6775.924812030075
6.114077669902913, 7207.056390977444
5.995145631067961, 8746.812030075189
5.876213592233009, 10040.206766917294
6.097087378640777, 10471.338345864662
5.978155339805825, 12011.093984962406
5.995145631067961, 15644.917293233084
6.8956310679611645, 3511.6428571428573
7.116504854368932, 4189.1353383458645
6.963592233009709, 4743.4473684210525
6.963592233009709, 6098.432330827068
7.099514563106796, 7453.417293233083
6.8956310679611645, 7822.958646616542
6.980582524271845, 9239.533834586466
7.116504854368932, 12072.684210526317
6.8956310679611645, 12442.225563909775
6.912621359223301, 15275.375939849624
7.116504854368932, 15644.917293233084
7.864077669902913, 15644.917293233084
8.08495145631068, 15583.327067669174
8, 14043.57142857143
7.881067961165049, 12996.537593984962
8.101941747572816, 12134.274436090225
7.966019417475728, 3450.0526315789475
