x,y
3.1488425025775655,87610.90676874679
8.159420341558953,94450.64804871881
13.076848981280968,115258.13137925754
18.069446277777978,86188.1606689904
23.057548438653882,48140.761961163545
27.87483544592815,68951.09934606485
32.98105978173619,66810.55857411446
38.098272226840244,86614.84179619921
42.99971816213169,75502.58113541425
48.019286272355274,100297.17841050582
53.037855463551935,123096.79168613965
58.02645708394131,86046.8849780417
63.13967385293772,97871.23220229545
68.09606033470924,196483.09151168558
