Time,Prey,Predator
20.3,11.866,1.63769
20.4,12.3727,1.776
20.5,12.8246,1.93529
20.6,13.2027,2.11783
20.7,13.4865,2.32527
20.8,13.6551,2.55903
20.9,13.6902,2.81911
21,13.5758,3.10464
21.1,13.3027,3.41271
21.2,12.8693,3.73841
21.3,12.288,4.07378
21.4,11.5766,4.41036
21.5,10.7615,4.73849
21.6,9.8763,5.04787
21.7,8.95758,5.3289
21.8,8.03892,5.57402
21.9,7.14973,5.77787
22,6.31295,5.93754
22.1,5.54357,6.05276
22.2,4.8498,6.12522
22.3,4.23409,6.15807
22.4,3.69444,6.15544
22.5,3.22595,6.12192
22.6,2.8222,6.06212
22.7,2.47602,5.98048
22.8,2.18018,5.88108
22.9,1.92788,5.76754
23,1.71291,5.64302
23.1,1.52977,5.51024
23.2,1.37364,5.37149
23.3,1.24041,5.22868
23.4,1.12654,5.08343
23.5,1.02913,4.93699
23.6,0.945639,4.79046
23.7,0.873978,4.6447
23.8,0.812507,4.50035
23.9,0.75965,4.35803
24,0.714263,4.21814
24.1,0.675351,4.08101
24.2,0.642006,3.94693
24.3,0.613603,3.81605
24.4,0.589495,3.68855
24.5,0.569191,3.56451
24.6,0.552305,3.444
24.7,0.538456,3.32705
24.8,0.527388,3.21368
24.9,0.518856,3.10386
25,0.512668,2.99757
25.1,0.508685,2.89477
25.2,0.506772,2.79542
25.3,0.506843,2.69945
25.4,0.508831,2.60681
25.5,0.512684,2.51741
25.6,0.518385,2.4312
25.7,0.525924,2.3481
25.8,0.535315,2.26803
25.9,0.54659,2.19091
26,0.559791,2.11668
26.1,0.574984,2.04525
26.2,0.592246,1.97655
26.3,0.611671,1.91051
26.4,0.63337,1.84706
26.5,0.657471,1.78613
26.6,0.684122,1.72764
26.7,0.713489,1.67154
26.8,0.745755,1.61775
26.9,0.781118,1.56623
27,0.819814,1.51691
27.1,0.862093,1.46973
27.2,0.908227,1.42466
27.3,0.958506,1.38163
27.4,1.01327,1.3406
27.5,1.0729,1.30154
27.6,1.13776,1.2644
27.7,1.20829,1.22915
27.8,1.28495,1.19576
27.9,1.36826,1.16421
28,1.45875,1.13449
28.1,1.557,1.10656
28.2,1.66366,1.08043
28.3,1.77943,1.05609
28.4,1.90504,1.03355
28.5,2.04127,1.01281
28.6,2.18898,0.993895
28.7,2.34907,0.976841
28.8,2.52251,0.961681
28.9,2.71028,0.948461
29,2.91346,0.937253
29.1,3.13313,0.928142
