2,955759151629586; 178964503,81559676; 0; mean
3,0395517261929044; 235028213,14647934; 0; up
2,9810396364126817; 75197837,04437888; 0; down
8,128268663176744; 147802385,64971787; 1; mean
7,826329969920614; 187144591,1995057; 1; up
7,938053402671702; 128562870,30734926; 1; down
13,007809976068224; 119162042,88900107; 2; mean
13,007809976068224; 119162042,88900107; 2; up
12,925444525645894; 57240537,85329163; 2; down
18,062072058791244; 173360140,26591557; 3; mean
18,040053572044677; 263737559,711815; 3; up
18,08857579283803; 64572505,747703314; 3; down
22,83682168475925; 174849367,8310536; 4; mean
22,739165618540696; 175689959,6327743; 4; up
22,848238677887103; 127987002,19243908; 4; down
28,014631943115766; 121929722,7615323; 5; mean
28,08313390188286; 240755528,9298451; 5; up
28,123297252707616; 75900421,23686182; 5; down
32,87541676729721; 170277552,12139648; 6; mean
32,85666027858718; 247265724,24197754; 6; up
33,08744663967153; 99976475,97569811; 6; down
37,94517334069373; 160876724,70304835; 7; mean
37,92743622637011; 233680757,03446737; 7; up
38,154960589417946; 99780756,09350646; 7; down
43,017172537740365; 142270789,74854386; 8; mean
43,01758028749493; 140597133,83287907; 8; up
43,04000652399606; 48546058,47131485; 8; down
48,078774116045565; 166343080,64349186; 9; mean
47,96460418476708; 234966737,02963713; 9; up
47,994166041973116; 113626683,14393884; 9; down
52,8580089893138; 149422093,136317; 10; mean
52,934054318540376; 237285264,864831; 10; up
52,97605254326068; 64898705,55135608; 10; down
57,93408568390612; 114079599,02516448; 11; mean
58,00748063972799; 212821534,2054996; 11; up
58,04662461616631; 52150566,30167836; 11; down
62,91107918813886; 85435492,42055935; 12; mean
62,701291939414645; 146531461,03010136; 12; up
63,31801344319574; 15126888,587084413; 12; down
67,95168165408391; 195701062,9722448; 13; mean
67,94556540776543; 220805901,70721686; 13; up
68,06299733708043; 138792997,99575317; 13; down
