2,7959183673469354; 449915654,52091765; 0; mean
2,897959183673464; 565052053,209948; 0; up
2,897959183673464; 287201176,0169654; 0; down
8,102040816326529; 445561017,92943895; 1; mean
8,102040816326529; 622096105,6487372; 1; up
7,9999999999999964; 264415847,31058407; 1; down
12,999999999999996; 413555523,4239445; 2; mean
12,897959183673468; 642278773,8577212; 2; up
12,999999999999996; 260046751,49411988; 2; down
17,897959183673468; 370804414,8833622; 3; mean
17,897959183673468; 513567572,77809906; 3; up
17,897959183673468; 212690379,79564285; 3; down
22,897959183673468; 383321283,9791786; 4; mean
23,102040816326525; 575216888,374783; 4; up
22,999999999999996; 257448910,73838437; 4; down
28,102040816326532; 400453055,71621346; 5; mean
27,897959183673468; 500224117,9872758; 5; up
27,897959183673468; 285311837,2855214; 5; down
33; 359237034,8949295; 6; mean
32,89795918367348; 478969057,25853086; 6; up
33; 270201947,1756313; 6; down
37,897959183673464; 391705224,59996134; 7; mean
37,69387755102041; 523713128,9762868; 7; up
37,897959183673464; 270433294,7753999; 7; down
42,897959183673464; 401151918,2571812; 8; mean
43,102040816326536; 548529978,7931366; 8; up
42,79591836734694; 281410256,41025627; 8; down
48; 392182379,0244842; 9; mean
48,102040816326536; 536485444,38018113; 9; up
48; 323103431,6560632; 9; down
52,89795918367348; 392413726,62425286; 10; mean
53; 542857142,8571428; 10; up
53; 260401002,50626552; 10; down
57,89795918367348; 427956911,509543; 11; mean
57,79591836734693; 516987179,4871794; 11; up
58; 294409099,6722574; 11; down
62,79591836734694; 331477732,7935221; 12; mean
62,79591836734694; 474240890,688259; 12; up
62,79591836734694; 217881241,56545186; 12; down
67,79591836734694; 393117408,90688246; 13; mean
68,10204081632654; 601903797,9564295; 13; up
68,10204081632654; 281070464,623096; 13; down
